host,status,grade,score,verdict,ad_requests,ad_domains,ad_slots,sticky_ads,popups,trackers,ad_weight_pct,refs,starred,pages,url,checked_utc,error
audio-file.org,,F,14.2,Ad-saturated / hostile,12,7,4,2,0,5,28.5,3,3,Music,https://audio-file.org/foobar2000-list-of-components/,2026-08-13T16:09:28+00:00,
www.internetchemistry.com,,F,14.5,Ad-saturated / hostile,58,8,2,1,0,3,72.2,2,2,Educational,https://www.internetchemistry.com/search.php,2026-08-13T17:57:57+00:00,
www.morewords.com,,F,14.5,Ad-saturated / hostile,766,100,3,0,0,1,67.6,1,1,Gaming,https://www.morewords.com/,2026-08-14T17:12:05+00:00,
www.tdtchannels.com,,F,14.5,Ad-saturated / hostile,64,13,2,1,0,1,57.4,2,2,Non-Eng,https://www.tdtchannels.com/,2026-08-13T20:28:46+00:00,
www.gsmchoice.com,online,F,14.5,Ad-saturated / hostile,40,18,3,0,0,1,61.5,1,1,Misc,https://www.gsmchoice.com/en/,2026-08-18T17:22:03+00:00,
datavizcatalogue.com,,F,15.0,Ad-saturated / hostile,706,79,2,0,0,10,69.6,2,2,Storage,https://datavizcatalogue.com/,2026-08-13T20:28:46+00:00,
radiopaedia.org,,F,15.0,Ad-saturated / hostile,287,81,3,0,0,0,38.7,2,2,Educational,https://radiopaedia.org/,2026-08-13T17:57:57+00:00,
walkccc.me,,F,15.0,Ad-saturated / hostile,42,5,4,1,0,1,29.0,1,1,Educational,https://walkccc.me/LeetCode/,2026-08-14T14:46:47+00:00,
www.happysprout.com,,F,15.0,Ad-saturated / hostile,115,38,3,0,0,0,70.3,1,1,Misc,https://www.happysprout.com,2026-08-14T17:12:05+00:00,
zoo.sandiegozoo.org,,F,15.5,Ad-saturated / hostile,28,10,1,0,0,19,35.1,2,2,Misc,https://zoo.sandiegozoo.org/live-cameras,2026-08-13T18:14:19+00:00,
lifeprint.com,,F,16.0,Ad-saturated / hostile,59,6,3,1,0,2,36.7,1,1,Educational,https://lifeprint.com/,2026-08-14T14:46:47+00:00,
www.splung.com,,F,16.0,Ad-saturated / hostile,43,6,4,0,0,2,60.7,1,1,Educational,https://www.splung.com/,2026-08-14T14:46:47+00:00,
www.tomshardware.com,,F,16.2,Ad-saturated / hostile,606,96,4,0,0,6,11.7,2,1,Misc,https://www.tomshardware.com/,2026-08-14T14:46:47+00:00,
www.drawize.com,,F,16.5,Ad-saturated / hostile,450,105,3,0,0,4,23.0,1,1,Gaming,https://www.drawize.com/,2026-08-14T17:12:05+00:00,
www.wunderground.com,,F,16.5,Ad-saturated / hostile,202,79,3,0,0,3,23.9,1,1,Misc,https://www.wunderground.com/wundermap,2026-08-14T17:12:05+00:00,
epsteinsecrets.com,online,F,16.5,Ad-saturated / hostile,73,5,4,0,0,7,78.0,1,1,Reading,https://epsteinsecrets.com/,2026-08-18T17:22:03+00:00,
animalia.bio,,F,17.5,Ad-saturated / hostile,1015,97,2,0,0,5,44.7,2,2,Educational,https://animalia.bio/,2026-08-13T17:57:57+00:00,
loigiaihay.com,online,F,17.5,Ad-saturated / hostile,30,8,2,0,0,7,33.6,1,1,Non-Eng,https://loigiaihay.com/,2026-08-18T17:22:03+00:00,
www.nitrome.com,,F,17.6,Ad-saturated / hostile,16,7,8,0,0,4,10.8,2,2,Gaming,https://www.nitrome.com/,2026-08-13T17:57:57+00:00,
www.chosic.com,,F,18.0,Ad-saturated / hostile,476,89,2,0,0,4,99.0,5,1,Music,https://www.chosic.com/,2026-08-14T14:46:47+00:00,
www.eatbydate.com,,F,18.0,Ad-saturated / hostile,28,8,2,0,0,6,36.5,1,1,Misc,https://www.eatbydate.com/,2026-08-14T17:12:05+00:00,
www.ranker.com,,F,18.0,Ad-saturated / hostile,133,51,1,1,0,4,77.3,2,2,Misc,https://www.ranker.com/,2026-08-13T18:14:19+00:00,
comicbookroundup.com,,F,18.5,Ad-saturated / hostile,167,64,2,0,0,3,31.8,2,2,Reading,https://comicbookroundup.com/,2026-08-13T20:28:46+00:00,
humanbenchmark.com,,F,18.5,Ad-saturated / hostile,132,50,2,0,0,3,46.6,2,2,Misc,https://humanbenchmark.com/,2026-08-13T18:14:19+00:00,
r3.whiteboardfox.com,,F,18.5,Ad-saturated / hostile,120,39,2,0,0,3,70.2,1,1,Educational,https://r3.whiteboardfox.com/,2026-08-14T17:12:05+00:00,
totaljerkface.com,,F,18.5,Ad-saturated / hostile,352,78,2,0,0,3,32.1,2,2,Gaming,https://totaljerkface.com/,2026-08-13T18:14:19+00:00,
www.stilltasty.com,,F,18.5,Ad-saturated / hostile,234,71,2,0,0,3,72.1,2,2,Misc,https://www.stilltasty.com/,2026-08-13T18:14:19+00:00,
forums.sufficientvelocity.com,,F,19.0,Ad-saturated / hostile,53,16,2,0,0,2,54.5,2,2,Misc,https://forums.sufficientvelocity.com/,2026-08-13T18:14:19+00:00,
globle-game.com,,F,19.0,Ad-saturated / hostile,276,81,2,0,0,2,44.3,2,2,Gaming,https://globle-game.com/,2026-08-13T18:14:19+00:00,
openfront.io,,F,19.0,Ad-saturated / hostile,695,112,2,0,0,2,59.6,2,2,Gaming,https://openfront.io/,2026-08-13T18:14:19+00:00,
playscrabble.com,,F,19.0,Ad-saturated / hostile,485,85,2,0,0,2,33.5,1,1,Gaming,https://playscrabble.com/,2026-08-14T17:12:05+00:00,
